2025-11-06 17:30:21.596923 - ALERTA: Paquete BLOQUEADO - IP: 172.16.56.239, Puerto: 8080, Protocolo: HTTPS, Razón: Puerto 8080 no permitido
2025-11-06 17:30:54.999199 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 33361, Protocolo: TCP, Razón: Puerto 33361 no permitido
2025-11-06 17:30:54.999691 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 38661, Protocolo: TCP, Razón: Puerto 38661 no permitido
2025-11-06 17:32:16.580822 - ALERTA: Paquete BLOQUEADO - IP: 192.168.1.100, Puerto: 53, Protocolo: FTP, Razón: IP en lista negra
2025-11-06 17:32:46.633469 - ALERTA: Paquete BLOQUEADO - IP: 192.168.248.193, Puerto: 5000, Protocolo: DNS, Razón: Puerto 5000 no permitido
2025-11-06 17:33:02.139225 - ALERTA: Paquete BLOQUEADO - IP: 10.3.154.23, Puerto: 123, Protocolo: SSH, Razón: Puerto 123 no permitido
2025-11-06 17:33:33.717237 - ALERTA: Paquete BLOQUEADO - IP: 10.152.67.85, Puerto: 8080, Protocolo: HTTPS, Razón: Puerto 8080 no permitido
2025-11-06 17:33:48.054102 - ALERTA: Paquete BLOQUEADO - IP: 172.16.0.25, Puerto: 21, Protocolo: DNS, Razón: IP en lista negra
2025-11-06 17:34:17.699345 - ALERTA: Paquete BLOQUEADO - IP: 10.83.44.17, Puerto: 3000, Protocolo: FTP, Razón: Puerto 3000 no permitido
2025-11-06 17:34:17.699971 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.15, Puerto: 5000, Protocolo: SSH, Razón: IP en lista negra
2025-11-06 17:34:18.578054 - ALERTA: Paquete BLOQUEADO - IP: 192.168.1.100, Puerto: 80, Protocolo: TCP, Razón: IP en lista negra
2025-11-06 17:34:18.578559 - ALERTA: Paquete BLOQUEADO - IP: 10.0.0.50, Puerto: 22, Protocolo: SSH, Razón: IP en lista negra
2025-11-06 17:34:18.579321 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 5601, Protocolo: TCP, Razón: Puerto 5601 no permitido
2025-11-06 17:34:18.579766 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 23277, Protocolo: TCP, Razón: Puerto 23277 no permitido
2025-11-06 17:34:18.580203 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 52076, Protocolo: TCP, Razón: Puerto 52076 no permitido
2025-11-06 17:34:18.580648 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 31788, Protocolo: TCP, Razón: Puerto 31788 no permitido
2025-11-06 17:34:18.581083 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 5018, Protocolo: TCP, Razón: Puerto 5018 no permitido
2025-11-06 17:34:18.581456 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 27870, Protocolo: TCP, Razón: Puerto 27870 no permitido
2025-11-06 17:34:18.581812 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 56821, Protocolo: TCP, Razón: Puerto 56821 no permitido
2025-11-06 17:34:18.582188 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 64453, Protocolo: TCP, Razón: Puerto 64453 no permitido
2025-11-06 17:34:18.582547 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 28236, Protocolo: TCP, Razón: Puerto 28236 no permitido
2025-11-06 17:34:18.582924 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 56288, Protocolo: TCP, Razón: Puerto 56288 no permitido
2025-11-06 17:34:18.583347 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 14115, Protocolo: TCP, Razón: Puerto 14115 no permitido
2025-11-06 17:34:18.583724 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 42674, Protocolo: TCP, Razón: Puerto 42674 no permitido
2025-11-06 17:34:18.584108 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 53255, Protocolo: TCP, Razón: Puerto 53255 no permitido
2025-11-06 17:34:18.584492 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 10138, Protocolo: TCP, Razón: Puerto 10138 no permitido
2025-11-06 17:34:18.584864 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 52303, Protocolo: TCP, Razón: Puerto 52303 no permitido
2025-11-06 17:38:52.908310 - ALERTA: Paquete BLOQUEADO - IP: 10.15.248.123, Puerto: 3000, Protocolo: DNS, Razón: Puerto 3000 no permitido
2025-11-06 17:38:52.968705 - ALERTA: Paquete BLOQUEADO - IP: 192.168.209.226, Puerto: 123, Protocolo: ICMP, Razón: Puerto 123 no permitido
2025-11-06 17:39:08.172351 - ALERTA: Paquete BLOQUEADO - IP: 172.16.0.25, Puerto: 8080, Protocolo: TCP, Razón: IP en lista negra
2025-11-06 17:39:22.772696 - ALERTA: Paquete BLOQUEADO - IP: 172.31.164.233, Puerto: 3000, Protocolo: SSH, Razón: Puerto 3000 no permitido
2025-11-06 17:39:22.885073 - ALERTA: Paquete BLOQUEADO - IP: 79.187.169.187, Puerto: 3000, Protocolo: DNS, Razón: Puerto 3000 no permitido
2025-11-06 17:39:36.862707 - ALERTA: Paquete BLOQUEADO - IP: 10.104.159.89, Puerto: 123, Protocolo: TCP, Razón: Puerto 123 no permitido
2025-11-06 17:39:36.914207 - ALERTA: Paquete BLOQUEADO - IP: 192.168.69.5, Puerto: 3000, Protocolo: HTTPS, Razón: Puerto 3000 no permitido
2025-11-06 17:39:38.592486 - ALERTA: Paquete BLOQUEADO - IP: 172.16.167.217, Puerto: 8080, Protocolo: ICMP, Razón: Puerto 8080 no permitido
2025-11-06 17:40:07.771177 - ALERTA: Paquete BLOQUEADO - IP: 172.16.0.25, Puerto: 3000, Protocolo: HTTP, Razón: IP en lista negra
2025-11-06 17:40:07.827917 - ALERTA: Paquete BLOQUEADO - IP: 10.0.0.50, Puerto: 21, Protocolo: DNS, Razón: IP en lista negra
2025-11-06 17:40:07.828565 - ALERTA: Paquete BLOQUEADO - IP: 192.168.1.100, Puerto: 80, Protocolo: TCP, Razón: IP en lista negra
2025-11-06 17:40:07.828965 - ALERTA: Paquete BLOQUEADO - IP: 10.0.0.50, Puerto: 22, Protocolo: SSH, Razón: IP en lista negra
2025-11-06 17:40:07.829806 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 27455, Protocolo: TCP, Razón: Puerto 27455 no permitido
2025-11-06 17:40:07.830187 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 48783, Protocolo: TCP, Razón: Puerto 48783 no permitido
2025-11-06 17:40:07.830525 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 37925, Protocolo: TCP, Razón: Puerto 37925 no permitido
2025-11-06 17:40:07.830854 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 60670, Protocolo: TCP, Razón: Puerto 60670 no permitido
2025-11-06 17:40:07.831181 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 63471, Protocolo: TCP, Razón: Puerto 63471 no permitido
2025-11-06 17:40:07.831502 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 37688, Protocolo: TCP, Razón: Puerto 37688 no permitido
2025-11-06 17:40:07.831823 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 38000, Protocolo: TCP, Razón: Puerto 38000 no permitido
2025-11-06 17:40:07.832143 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 64596, Protocolo: TCP, Razón: Puerto 64596 no permitido
2025-11-06 17:40:07.832529 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 48370, Protocolo: TCP, Razón: Puerto 48370 no permitido
2025-11-06 17:40:07.832853 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 48195, Protocolo: TCP, Razón: Puerto 48195 no permitido
2025-11-06 17:40:07.833180 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 51377, Protocolo: TCP, Razón: Puerto 51377 no permitido
2025-11-06 17:40:07.833504 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 20286, Protocolo: TCP, Razón: Puerto 20286 no permitido
2025-11-06 17:40:07.833828 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 52506, Protocolo: TCP, Razón: Puerto 52506 no permitido
2025-11-06 17:40:07.834151 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 21540, Protocolo: TCP, Razón: Puerto 21540 no permitido
2025-11-06 17:40:07.834474 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 33830, Protocolo: TCP, Razón: Puerto 33830 no permitido
